row,folder,file,d43_filename,d44_res,d44_plays,d44_dur>60,d45_size<30,d45_bitrate,d7_deadair,d6_hum,lufs,auto_status,E1_cap-covers-picture,E2_cap-not-split-synced,E3_cap-font-shrunk,E4_tofu-in-captions,E5_tofu-end-card,E8_tts-homograph,E9_narrator-quotes-kjv,E10_jesus-not-exact-kjv,E12_face-visible-where-withheld,E13_face-inconsistent,E14_caucasian-jesus,E15_halo-glow,E16_brown-mantle-variance,E17_wrong-limb-count,E18_duplicate-character,E19_look-drift,E20_trait-not-reading,E21_trait-caricature,E22_wrong-scale,E23_on-the-water,E24_direction-vs-narration,E25_action-wrong,E26_lighting-wrong-tod,E27_figure-out-of-place,E28_gore-wet-tears,E29_embodied-satan,E30_shame-no-mercy,E31_fear-closing-card,E32_child-in-peril,E33_not-10yo-safe,E34_style-drift,E35_ai-clip-in-stills,E36_gibberish-text,E37_modern-objects,E38_ref-portrait-collapse,E39_must-show-missing,E40_must-never-show-present,E41_verse-card-source,E42_closing-q-vs-seed,E46_narrator-not-plain,E47_not-carried-to-final-verse,E48_sacred-silence-missing
25,build-25-wheat-and-tares,matthew-13_wheat-and-tares.mp4,PASS,PASS,PASS,PASS,PASS,PASS,MINOR(2.80s),PASS,PASS(-14.8),MINOR,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
26,build-26-mustard-seed,matthew-13_mustard-seed.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-16.5),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
27,build-27-leaven,matthew-13_leaven.mp4,PASS,PASS,PASS,PASS,PASS,PASS,MINOR(2.80s),PASS,PASS(-14.8),MINOR,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
28,build-28-hidden-treasure,matthew-13_hidden-treasure.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-16.6),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
29,build-29-pearl,matthew-13_pearl-of-great-price.mp4,PASS,PASS,PASS,PASS,PASS,PASS,MINOR(2.77s),PASS,PASS(-16.7),MINOR,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
30,build-30-net,matthew-13_the-net.mp4,PASS,PASS,PASS,PASS,PASS,PASS,MINOR(2.81s),PASS,PASS(-14.8),MINOR,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
31,build-31-ten-virgins,matthew-25_ten-virgins.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-16.5),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
32,build-32-talents,matthew-25_talents.mp4,PASS,PASS,PASS,PASS,PASS,PASS,MINOR(2.78s),PASS,PASS(-14.8),MINOR,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
33,build-33-sheep-goats,matthew-25_sheep-and-goats.mp4,PASS,PASS,PASS,PASS,PASS,PASS,MINOR(2.78s),PASS,PASS(-14.8),MINOR,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
34,build-34-rich-fool,luke-12_rich-fool.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-16.4),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
35,build-35-great-banquet,luke-14_great-banquet.mp4,PASS,PASS,PASS,PASS,PASS,PASS,MINOR(2.79s),PASS,PASS(-14.8),MINOR,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
36,build-36-shrewd-steward,luke-16_shrewd-steward.mp4,PASS,PASS,PASS,PASS,PASS,PASS,MINOR(2.78s),PASS,PASS(-14.8),MINOR,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
37,build-37-rich-man-lazarus,luke-16_rich-man-lazarus.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-16.6),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
38,build-38-persistent-widow,luke-18_persistent-widow.mp4,PASS,PASS,PASS,PASS,PASS,PASS,MINOR(2.84s),PASS,PASS(-14.7),MINOR,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
39,build-39-the-pharisee-and-the-publican,luke-18_pharisee-and-publican.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-14.8),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
40,build-40-the-friend-at-midnight,luke-11_friend-at-midnight.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-14.8),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
41,build-41-counting-the-cost,luke-14_counting-the-cost.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-14.8),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
42,build-42-barren-fig-tree,luke-13_barren-fig-tree.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-14.8),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
43,build-43-the-wedding-garment,matthew-22_wedding-garment.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-14.8),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
44,build-44-two-debtors,luke-7_two-debtors.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-14.8),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
45,build-45-wicked-tenants,mark-12_wicked-tenants.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-14.8),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
46,build-46-seed-growing,mark-4_seed-growing.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-14.8),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
47,build-47-houses-on-rock-and-sand,matthew-7_houses-on-rock-and-sand.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-14.8),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
48,build-48-new-wine-old-bottles,mark-2_new-wine-old-bottles.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-16.7),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
49,build-49-water-to-wine,john-2_water-to-wine.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-16.7),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
50,build-50-noblemans-son,john-4_noblemans-son.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-16.7),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
51,build-51-first-catch-of-fish,luke-5_first-catch-of-fish.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-16.7),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
52,build-52-demoniac-synagogue,mark-1_demoniac-synagogue.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-16.7),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
